SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
00270,ZAKS 3.5oz Landjaeger - Original,Meat,,US,FALSE,FALSE,FALSE,,
00271,ZAKS 3.5oz Landjaeger - Hot,Meat,,US,FALSE,FALSE,FALSE,,
00273,ZAKS 3.5oz Landjaeger - Garlic,Meat,,US,FALSE,FALSE,FALSE,,
00275,THE BUTCHER 3.2oz Landjaeger - Original,Meat,,US,FALSE,FALSE,FALSE,5,100
00276,THE BUTCHER 3.2oz Landjaeger - Teriyaki,Meat,,US,FALSE,FALSE,FALSE,5,100
00277,THE BUTCHER 3.2oz Landjaeger - Hot,Meat,,US,FALSE,FALSE,FALSE,5,100
00278,THE BUTCHER 3.2oz Landjaeger - Peppered,Meat,,US,FALSE,FALSE,FALSE,5,100
00279,THE BUTCHER 3.2oz Landjaeger - Garlic,Meat,,US,FALSE,FALSE,FALSE,5,100
00801,THE BUTCHER 50g Pepperoni - Hot,Meat,,CA,FALSE,FALSE,FALSE,25,100
00802,THE BUTCHER 50g Pepperoni - Mild,Meat,,CA,FALSE,FALSE,FALSE,25,100
00821,THE BUTCHER 45g Original Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72
00822,THE BUTCHER 45g Peppered Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72
00823,THE BUTCHER 45g Teriyaki Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72
00824,THE BUTCHER 45g Sweet Chili Slab CF,Meat,,,FALSE,TRUE,FALSE,6,72
00841,THE BUTCHER 45g Original Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,12,12
00842,THE BUTCHER 45g Peppered Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12
00843,THE BUTCHER 45g Teriyaki Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12
00844,THE BUTCHER 45g Sweet Chili Slab CF - Caddy,Meat,,,FALSE,TRUE,FALSE,1,12
00851,THE BUTCHER 20g Jerky Chew - Original,Meat,,,FALSE,TRUE,FALSE,10,100
00852,THE BUTCHER 20g Jerky Chew - Teriyaki,Meat,,,FALSE,TRUE,FALSE,10,100
00891 - J,THE BUTCHER 20g Jerky Chew - Original - Plastic Jar Kit,Kits,,,FALSE,TRUE,FALSE,,
00892 - J,THE BUTCHER 20g Jerky Chew - Teriyaki - Plastic Jar Kit,Kits,,,FALSE,TRUE,FALSE,,
00931,ZAKS 60g Jerky Strips - Original,Meat,AB,CA,FALSE,FALSE,FALSE,8,80
00932,ZAKS 60g Jerky Strips - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,8,80
00933,ZAKS 60g Jerky Strips - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,8,80
00941,ZAKS 125g Jerky Strips - Original,Meat,AB,CA,FALSE,FALSE,FALSE,8,80
00942,ZAKS 125g Jerky Strips - Teriyaki,Meat,AB,CA,FALSE,FALSE,FALSE,8,80
00943,ZAKS 125g Jerky Strips - Smokin' Hickory,Meat,AB,CA,FALSE,FALSE,FALSE,10,
00960,ZAKS 57g Steak Strips - Original,Meat,,CA,FALSE,FALSE,FALSE,5,130
00961,ZAKS 57g Steak Strips - Teriyaki,Meat,,CA,FALSE,FALSE,FALSE,5,130
00962,ZAKS 57g Steak Strips - Sweet Chili,Meat,,CA,FALSE,FALSE,FALSE,5,130
00963,ZAKS 57g Steak Strips - Peppered,Meat,,CA,FALSE,FALSE,FALSE,5,130
00964,ZAKS 57g Steak Strips - Garlic,Meat,,CA,FALSE,FALSE,FALSE,5,130
00970,ZAKS 50g Jerky - Classic Smoked Original,Meat,,,FALSE,TRUE,FALSE,1,
00971,ZAKS 50g Jerky - Teriyaki,Meat,,,FALSE,TRUE,FALSE,1,
00972,ZAKS 50g Jerky - Honey Heat,Meat,,,FALSE,TRUE,FALSE,1,
00973,ZAKS 50g Jerky - Lemon Cracked Pepper,Meat,,,FALSE,TRUE,FALSE,1,
00974,ZAKS 50g Jerky - Garlic & Dill,Meat,,,FALSE,TRUE,FALSE,1,
00975,ZAKS 50g Jerky - Teri Heat,Meat,,,FALSE,TRUE,FALSE,1,
00976,ZAKS 56g Jerky - Original,Meat,,,FALSE,TRUE,FALSE,10,150
00977,ZAKS 56g Jerky - Teriyaki,Meat,,,FALSE,TRUE,FALSE,10,150
00978,ZAKS 56g Jerky - Dill,Meat,,,FALSE,TRUE,FALSE,10,150
00979,ZAKS 56g Jerky - Lemon Pepper,Meat,,,FALSE,TRUE,FALSE,10,150
00980,ZAKS 150g Jerky - Classic Smoked Original,Meat,,,FALSE,TRUE,FALSE,1,
00981,ZAKS 150g Jerky - Teriyaki,Meat,,,FALSE,TRUE,FALSE,1,
00982,ZAKS 150g Jerky - Honey Heat,Meat,,,FALSE,TRUE,FALSE,1,
00983,ZAKS 150g Jerky - Lemon Cracked Pepper,Meat,,,FALSE,TRUE,FALSE,1,
00990,ZAKS 125g Jerky - Classic Smoked Original,Meat,,,FALSE,TRUE,FALSE,1,
00991,ZAKS 125g Jerky - Teriyaki,Meat,,,FALSE,TRUE,FALSE,1,
00992,ZAKS 125g Jerky - Honey Heat,Meat,,,FALSE,TRUE,FALSE,1,
00993,ZAKS 125g Jerky - Lemon Cracked Pepper,Meat,,,FALSE,TRUE,FALSE,1,
00994,ZAKS 125g Jerky - Garlic & Dill,Meat,,,FALSE,TRUE,FALSE,1,
00995,ZAKS 125g Jerky - Teri Heat,Meat,,,FALSE,TRUE,FALSE,1,
